Date,Open,High,Low,Close,Adj Close,Volume
2-Jan-24,23.3,23.73,23.29,23.51,23.51,"349,893"
29-Dec-23,23.11,23.3,22.86,23.11,23.11,"318,074"
28-Dec-23,23.35,23.44,23.08,23.09,23.09,"317,181"
27-Dec-23,23.7,23.88,23.22,23.34,23.34,"350,575"
22-Dec-23,23.3,23.76,22.09,23.73,23.73,"734,050"
21-Dec-23,23.81,24.45,23.7,24.08,24.08,"310,526"
20-Dec-23,23.94,24.27,23.74,24.02,24.02,"302,546"
19-Dec-23,23.73,24.23,23.73,24.02,24.02,"323,135"
18-Dec-23,23.75,23.81,23.41,23.73,23.73,"377,018"
15-Dec-23,23.88,24.19,23.83,23.92,23.92,"790,477"
14-Dec-23,23.8,24.12,23.45,23.88,23.88,"357,894"
13-Dec-23,23.29,23.48,23.09,23.42,23.42,"405,116"
12-Dec-23,24.03,24.06,23.11,23.32,23.32,"536,139"
11-Dec-23,24.39,24.76,23.23,24.05,24.05,"935,530"
8-Dec-23,24.9,24.95,23.91,24.3,24.3,"593,217"
7-Dec-23,24.61,24.95,24.32,24.91,24.91,"405,094"
6-Dec-23,24.85,25.06,24.32,24.89,24.89,"332,006"
5-Dec-23,25.09,25.18,24.83,24.83,24.83,"348,293"
4-Dec-23,25.93,26.13,24.98,25.02,25.02,"421,139"
1-Dec-23,25.7,26.04,25.28,25.9,25.9,"498,481"
30-Nov-23,26.57,26.73,25.15,26.13,26.13,"608,265"
29-Nov-23,26.75,27.18,26.22,26.5,26.5,"545,615"
28-Nov-23,27.35,27.55,26.45,26.78,26.78,"1,266,423"
27-Nov-23,29.6,29.81,29.42,29.42,29.42,"155,839"
24-Nov-23,29.53,29.81,29.23,29.65,29.65,"136,044"
23-Nov-23,30.01,30.12,29.2,29.64,29.64,"119,877"
22-Nov-23,30.21,30.52,29.95,30,30,"221,667"
21-Nov-23,30.01,30.46,30.01,30.26,30.26,"335,479"
20-Nov-23,29.66,30.38,29.52,30.13,30.13,"186,259"
17-Nov-23,29.62,30.24,29.5,29.73,29.73,"159,718"
16-Nov-23,29.83,30.56,29.61,29.61,29.61,"355,281"
15-Nov-23,30.1,30.7,29.88,29.95,29.95,"249,885"
14-Nov-23,29.34,30.25,29.28,30.05,30.05,"282,808"
13-Nov-23,29.25,29.64,28.89,29.48,29.48,"207,395"
10-Nov-23,29.2,29.66,28.95,29.15,29.15,"296,860"
9-Nov-23,28.46,29.6,28.44,29.52,29.52,"322,145"
8-Nov-23,28.4,28.86,28,28.55,28.55,"272,673"
7-Nov-23,28.03,28.48,27.6,28.4,28.4,"224,486"
6-Nov-23,28.37,28.79,28.08,28.1,28.1,"260,256"
3-Nov-23,27.94,28.49,27.73,28.37,28.37,"329,493"
